1007_s_at,9.80811398
1053_at,6.039011785
117_at,5.810845604
121_at,10.34278117
1255_g_at,3.211123348
1294_at,7.615630883
1316_at,5.473263969
1320_at,5.130847382
1405_i_at,5.967406954
1431_at,3.806599082
1438_at,6.459728547
1487_at,8.52547126
1494_f_at,6.155345118
1552256_a_at,6.431330609
1552257_a_at,6.973053399
1552258_at,4.590544467
1552261_at,5.997751859
1552263_at,4.27406608
1552264_a_at,6.962582459
1552266_at,3.547881569
1552269_at,5.447264236
1552271_at,5.962606016
1552272_a_at,6.51964286
1552274_at,6.82146321
1552275_s_at,6.088845758
1552276_a_at,5.82756467
1552277_a_at,6.649334468
1552278_a_at,5.501090473
1552279_a_at,7.009025221
1552280_at,3.920309073
1552281_at,9.770686557
1552283_s_at,5.585907713
1552286_at,5.231003352
1552287_s_at,6.355235647
1552288_at,4.120150565
1552289_a_at,4.855829537
1552291_at,5.981614906
1552293_at,4.609720087
1552295_a_at,6.756876238
1552296_at,3.659126016
1552299_at,3.91704328
1552301_a_at,4.991132823
1552302_at,7.896117079
1552303_a_at,7.728210159
1552304_at,3.673319033
1552306_at,3.400294713
1552307_a_at,4.556166348
1552309_a_at,4.114183763
1552310_at,6.201261199
1552311_a_at,7.109521271
1552312_a_at,4.634652017
1552314_a_at,3.711992171
1552315_at,6.025665653
1552316_a_at,5.385475748
1552318_at,4.994447829
1552319_a_at,4.208848473
1552320_a_at,3.814074349
1552321_a_at,3.745203542
1552322_at,3.205916154
1552323_s_at,3.910694057
1552325_at,2.992378939
1552326_a_at,6.107925485
1552327_at,4.70615097
1552329_at,4.665916836
1552330_at,5.8189583
1552332_at,7.234127681
1552334_at,5.354177109
1552335_at,5.098405416
1552337_s_at,7.675136823
1552338_at,4.428943491
1552340_at,4.55733796
1552343_s_at,6.13077857
1552344_s_at,5.264277445
1552347_at,7.548504051
1552348_at,6.574717497
1552349_a_at,4.644600401
1552354_at,5.491259315
1552355_s_at,5.977579778
1552359_at,3.158943075
1552360_a_at,4.928092588
1552362_a_at,8.035093144
1552364_s_at,5.195390759
1552365_at,8.162680677
1552367_a_at,7.089243113
1552368_at,3.676237423
1552370_at,6.561954403
1552372_at,2.68195583
1552373_s_at,2.963190284
1552375_at,3.771359477
1552377_s_at,7.059720974
1552378_s_at,5.930004706
1552379_at,2.883483055
1552381_at,3.723037888
1552383_at,7.597080535
1552384_a_at,5.271211194
1552386_at,3.519960781
1552388_at,5.602141169
1552389_at,3.997915899
1552390_a_at,5.380118132
1552391_at,4.380277607
1552393_at,2.929339036
1552394_a_at,3.188223448
1552395_at,7.062103607
1552396_at,4.581671197
1552398_a_at,3.680826631
1552399_a_at,4.235431092
1552400_a_at,4.73591298
1552401_a_at,3.506289154
1552402_at,3.968087012
1552405_at,4.802844799
1552408_at,3.411359725
1552409_a_at,6.075865478
